[2025-05-28 10:00:09,134 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=20
[2025-05-28 10:00:09,135 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=21
[2025-05-28 10:00:09,135 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=22
[2025-05-28 10:00:09,136 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=23
[2025-05-28 10:00:09,137 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=24
[2025-05-28 10:00:09,138 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=25
[2025-05-28 10:00:09,139 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=26
[2025-05-28 10:00:09,140 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=27
[2025-05-28 10:00:09,161 INFO server]: [Server] Published ProposedTheta event. Iteration no: 2, walker=27
[2025-05-28 10:00:09,282 INFO server]: [Server] Collected all likelihoods for (iter=2,walker=27)
[2025-05-28 10:00:09,282 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=28
[2025-05-28 10:00:09,282 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=29
[2025-05-28 10:00:09,283 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=30
[2025-05-28 10:00:09,284 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=31
[2025-05-28 10:00:09,305 INFO server]: [Server] Published ProposedTheta event. Iteration no: 2, walker=31
[2025-05-28 10:00:09,587 INFO server]: [Server] Collected all likelihoods for (iter=2,walker=31)
[2025-05-28 10:00:09,605 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=0
[2025-05-28 10:00:09,606 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=1
[2025-05-28 10:00:09,608 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=2
[2025-05-28 10:00:09,610 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=3
[2025-05-28 10:00:09,611 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=4
[2025-05-28 10:00:09,612 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=5
[2025-05-28 10:00:09,613 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=6
[2025-05-28 10:00:09,614 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=7
[2025-05-28 10:00:09,615 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=8
[2025-05-28 10:00:09,616 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=9
[2025-05-28 10:00:09,638 INFO server]: [Server] Published ProposedTheta event. Iteration no: 3, walker=9
[2025-05-28 10:00:09,789 INFO server]: [Server] Collected all likelihoods for (iter=3,walker=9)
[2025-05-28 10:00:09,790 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=10
[2025-05-28 10:00:09,792 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=11
[2025-05-28 10:00:09,792 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=12
[2025-05-28 10:00:09,793 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=13
[2025-05-28 10:00:09,794 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=14
[2025-05-28 10:00:09,794 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=15
[2025-05-28 10:00:09,800 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=16
[2025-05-28 10:00:09,800 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=17
[2025-05-28 10:00:09,801 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=18
[2025-05-28 10:00:09,822 INFO server]: [Server] Published ProposedTheta event. Iteration no: 3, walker=18
[2025-05-28 10:00:09,943 INFO server]: [Server] Collected all likelihoods for (iter=3,walker=18)
[2025-05-28 10:00:09,944 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=19
[2025-05-28 10:00:09,944 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=20
[2025-05-28 10:00:09,945 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=21
[2025-05-28 10:00:09,946 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=22
[2025-05-28 10:00:09,946 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=23
[2025-05-28 10:00:09,947 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=24
[2025-05-28 10:00:09,968 INFO server]: [Server] Published ProposedTheta event. Iteration no: 3, walker=24
[2025-05-28 10:00:10,211 INFO server]: [Server] Collected all likelihoods for (iter=3,walker=24)
[2025-05-28 10:00:10,211 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=25
[2025-05-28 10:00:10,211 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=26
[2025-05-28 10:00:10,212 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=27
[2025-05-28 10:00:10,213 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=28
[2025-05-28 10:00:10,214 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=29
[2025-05-28 10:00:10,215 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=30
[2025-05-28 10:00:10,216 INFO server]: [Server] Computing global log prob. Iteration no: 3, walker=31
[2025-05-28 10:00:10,217 INFO server]: [Server] Computing global log prob. Iteration no: 4, walker=0
[2025-05-28 10:00:10,239 INFO server]: [Server] Published ProposedTheta event. Iteration no: 4, walker=0
[2025-05-28 10:00:10,330 INFO server]: [Server] Collected all likelihoods for (iter=4,walker=0)
[2025-05-28 10:00:10,330 INFO server]: [Server] Computing global log prob. Iteration no: 4, walker=1
[2025-05-28 10:00:10,351 INFO server]: [Server] Published ProposedTheta event. Iteration no: 4, walker=1
[2025-05-28 10:00:10,552 INFO server]: [Server] Collected all likelihoods for (iter=4,walker=1)
[2025-05-28 10:00:10,553 INFO server]: [Server] Computing global log prob. Iteration no: 4, walker=2
[2025-05-28 10:00:10,573 INFO server]: [Server] Published ProposedTheta event. Iteration no: 4, walker=2
[2025-05-28 10:00:10,715 INFO server]: [Server] Collected all likelihoods for (iter=4,walker=2)
[2025-05-28 10:00:10,715 INFO server]: [Server] Computing global log prob. Iteration no: 4, walker=3
[2025-05-28 10:00:10,736 INFO server]: [Server] Published ProposedTheta event. Iteration no: 4, walker=3
[2025-05-28 10:00:10,946 INFO server]: [Server] Collected all likelihoods for (iter=4,walker=3)
[2025-05-28 10:00:10,946 INFO server]: [Server] Computing global log prob. Iteration no: 4, walker=4
[2025-05-28 10:00:10,967 INFO server]: [Server] Published ProposedTheta event. Iteration no: 4, walker=4
[2025-05-28 10:00:11,159 INFO server]: [Server] Collected all likelihoods for (iter=4,walker=4)
[2025-05-28 10:00:11,159 INFO server]: [Server] Computing global log prob. Iteration no: 4, walker=5
